Source Name	Characteristics[organism]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[population]	Characteristics[coriell id]	Material Type	Protocol REF	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Comment[MD5]	Factor Value[immunoprecipitate]	Factor Value[coriell id]
NA06994_H3K27ac	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA06994	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA06994_H3K27ac	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA06994_H3K27ac	sequencing assay	IP_06994_H3K27ac_merge_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_06994_H3K27ac_merge_sorted.bam	b7dc8afaedd2a8a4e5201e9223fd449d	H3K27ac	NA06994
NA06994_H3K4me1	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA06994	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA06994_H3K4me1	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA06994_H3K4me1	sequencing assay	IP_06994_H3K4me1_merge_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_06994_H3K4me1_merge_sorted.bam	3bc9be9d51661462e5fc0e291f4de94d	H3K4me1	NA06994
NA06994_H3K4me3	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA06994	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA06994_H3K4me3	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA06994_H3K4me3	sequencing assay	IP_06994_H3K4me3_120521_8_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_06994_H3K4me3_120521_8_sorted.bam	304420a191a5a70b97f7ca6135690e36	H3K4me3	NA06994
NA06994_PU.1	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA06994	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA06994_PU.1	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA06994_PU.1	sequencing assay	IP_06994_PU1_120605_4_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_06994_PU1_120605_4_sorted.bam	a9607a7596411311faf6c1d4c63af476	PU.1	NA06994
NA06994_RPB2	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA06994	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA06994_RPB2	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA06994_RPB2	sequencing assay	IP_06994_RPB2_merge_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_06994_RPB2_merge_sorted.bam	5c36ac7deb561a8d898c80b9fb700584	RPB2	NA06994
NA07037_H3K27ac	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA07037	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA07037_H3K27ac	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA07037_H3K27ac	sequencing assay	IP_07037_H3K27ac_merge_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_07037_H3K27ac_merge_sorted.bam	50743707b6257f96f8ac05c414e13aab	H3K27ac	NA07037
NA07037_H3K4me1	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA07037	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA07037_H3K4me1	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA07037_H3K4me1	sequencing assay	IP_07037_H3K4me1_merge_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_07037_H3K4me1_merge_sorted.bam	1786f36df9cc78011e47623236aca74f	H3K4me1	NA07037
NA07037_H3K4me3	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA07037	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA07037_H3K4me3	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA07037_H3K4me3	sequencing assay	IP_07037_H3K4me3_120521_6_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_07037_H3K4me3_120521_6_sorted.bam	1caa34048a1f0e0ee6de130aaade9b81	H3K4me3	NA07037
NA07037_PU.1	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA07037	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA07037_PU.1	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA07037_PU.1	sequencing assay	IP_07037_PU1_120521_7_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_07037_PU1_120521_7_sorted.bam	99640bd59c133b61945cedda04cbd3a2	PU.1	NA07037
NA07037_RPB2	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA07037	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA07037_RPB2	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA07037_RPB2	sequencing assay	IP_07037_RPB2_merge_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_07037_RPB2_merge_sorted.bam	905c739e27416712490f0618536aee6e	RPB2	NA07037
NA07048_H3K27ac	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA07048	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA07048_H3K27ac	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA07048_H3K27ac	sequencing assay	IP_07048_H3K27ac_merge_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_07048_H3K27ac_merge_sorted.bam	45d1a6c30de0d4cb76d5660e6085c846	H3K27ac	NA07048
NA07048_H3K4me1	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA07048	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA07048_H3K4me1	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA07048_H3K4me1	sequencing assay	IP_07048_H3K4me1_merge_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_07048_H3K4me1_merge_sorted.bam	e4f65e99ff40f82a1ef1e3fa1a87e9d7	H3K4me1	NA07048
NA07048_H3K4me3	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA07048	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA07048_H3K4me3	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA07048_H3K4me3	sequencing assay	IP_07048_H3K4me3_merge_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_07048_H3K4me3_merge_sorted.bam	7c0e3c8bd564f21ecaef60ee7c0a34d3	H3K4me3	NA07048
NA07048_PU.1	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA07048	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA07048_PU.1	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA07048_PU.1	sequencing assay	IP_07048_PU1_120521_8_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_07048_PU1_120521_8_sorted.bam	75030237a3b6e890ebdef7d25b0a06cf	PU.1	NA07048
NA07048_RPB2	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA07048	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA07048_RPB2	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA07048_RPB2	sequencing assay	IP_07048_RPB2_merge_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_07048_RPB2_merge_sorted.bam	d0bf80be605578057e9810e6450a83b1	RPB2	NA07048
NA07051_H3K27ac	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA07051	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA07051_H3K27ac	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA07051_H3K27ac	sequencing assay	IP_07051_H3K27ac_120628_5_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_07051_H3K27ac_120628_5_sorted.bam	d71ae97c3b111605b5e3b70a11228fce	H3K27ac	NA07051
NA07051_H3K4me1	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA07051	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA07051_H3K4me1	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA07051_H3K4me1	sequencing assay	IP_07051_H3K4me1_merge_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_07051_H3K4me1_merge_sorted.bam	c9348333f12edc838f16547a5e9f5299	H3K4me1	NA07051
NA07051_H3K4me3	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA07051	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA07051_H3K4me3	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA07051_H3K4me3	sequencing assay	IP_07051_H3K4me3_120605_2_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_07051_H3K4me3_120605_2_sorted.bam	386e9e977db1ff8f49f537ecfae3f202	H3K4me3	NA07051
NA07051_PU.1	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA07051	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA07051_PU.1	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA07051_PU.1	sequencing assay	IP_07051_PU1_merge_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_07051_PU1_merge_sorted.bam	69a14e4b9fcce3ef6bba1b2fcc1bb006	PU.1	NA07051
NA07051_RPB2	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA07051	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA07051_RPB2	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA07051_RPB2	sequencing assay	IP_07051_RPB2_merge_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_07051_RPB2_merge_sorted.bam	caa040cf60be91d342dc3e4159f2e5b4	RPB2	NA07051
NA07056_H3K27ac	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA07056	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA07056_H3K27ac	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA07056_H3K27ac	sequencing assay	IP_07056_H3K27ac_merge_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_07056_H3K27ac_merge_sorted.bam	ec28ecab141e6b4e57773465211a5c30	H3K27ac	NA07056
NA07056_H3K4me1	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA07056	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA07056_H3K4me1	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA07056_H3K4me1	sequencing assay	IP_07056_H3K4me1_merge_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_07056_H3K4me1_merge_sorted.bam	7ab5552b2c391a17a41a5c64b2bb1edf	H3K4me1	NA07056
NA07056_H3K4me3	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA07056	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA07056_H3K4me3	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA07056_H3K4me3	sequencing assay	IP_07056_H3K4me3_120521_6_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_07056_H3K4me3_120521_6_sorted.bam	0f2f5b2d5a964181812f0475e9b0d218	H3K4me3	NA07056
NA07056_PU.1	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA07056	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA07056_PU.1	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA07056_PU.1	sequencing assay	IP_07056_PU1_120605_4_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_07056_PU1_120605_4_sorted.bam	8022e57eb080226681025d261188a09a	PU.1	NA07056
NA07056_RPB2	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA07056	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA07056_RPB2	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA07056_RPB2	sequencing assay	IP_07056_RPB2_merge_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_07056_RPB2_merge_sorted.bam	ed28b7c53881b4c0d43caeaf2083127c	RPB2	NA07056
NA07346_H3K27ac	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA07346	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA07346_H3K27ac	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA07346_H3K27ac	sequencing assay	IP_07346_H3K27ac_120628_6_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_07346_H3K27ac_120628_6_sorted.bam	d6bc3998819771b86c871668796d63ef	H3K27ac	NA07346
NA07346_H3K4me1	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA07346	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA07346_H3K4me1	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA07346_H3K4me1	sequencing assay	IP_07346_H3K4me1_merge_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_07346_H3K4me1_merge_sorted.bam	505050bf2f3bf2d3fc854a991cc1d157	H3K4me1	NA07346
NA07346_H3K4me3	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA07346	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA07346_H3K4me3	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA07346_H3K4me3	sequencing assay	IP_07346_H3K4me3_120605_4_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_07346_H3K4me3_120605_4_sorted.bam	5cf1db39ffa737d37f34a8963d8fd356	H3K4me3	NA07346
NA07346_PU.1	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA07346	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA07346_PU.1	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA07346_PU.1	sequencing assay	IP_07346_PU1_120605_6_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_07346_PU1_120605_6_sorted.bam	84230330bdce2f83fd9fee6330789e20	PU.1	NA07346
NA07346_RPB2	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA07346	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA07346_RPB2	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA07346_RPB2	sequencing assay	IP_07346_RPB2_merge_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_07346_RPB2_merge_sorted.bam	01900cced5c21ff00dd13f52d51eacce	RPB2	NA07346
NA07357_H3K27ac	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA07357	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA07357_H3K27ac	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA07357_H3K27ac	sequencing assay	IP_07357_H3K27ac_120628_6_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_07357_H3K27ac_120628_6_sorted.bam	e6bb6dfe3be98072a32614633ce205c2	H3K27ac	NA07357
NA07357_H3K4me1	Homo sapiens	lymphoblastoid cell line	lymphoblast	CEU	NA07357	cell	P-MTAB-45218	P-MTAB-45219	Dept Medical Genetics, University of Geneva	NA07357_H3K4me1	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-45220	Dept Medical Genetics, University of Geneva	NA07357_H3K4me1	sequencing assay	IP_07357_H3K4me1_merge_sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_07357_H3K4me1_merge_sorted.bam	93e7d9c6c88bbc7cc62166bde258d88f	H3K4me1	NA07357
