Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[strain]	Characteristics[sample description]	Characteristics[sex]	Characteristics[cell type]	Characteristics[immunoprecipitate]	Comment[BioSD_SAMPLE]	Comment[ENA_ALIAS]	Comment[ENA_SAMPLE]	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[Center]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[sex]	Factor Value[immunoprecipitate]
ERS037295	Homo sapiens	NCBI Taxonomy	9606	  	  	male	B-Lymphocyte	CTCF	SAMEA1706495	GM07357-sc-2011-06-09T13:38:16Z-1162217	ERS037295	LIBRARY_CONSTRUCTION_PROTOCOL_1	3370381_ERX664210	PAIRED	ChIP	GENOMIC	ChIP-Seq	228	10	SEQUENCING_PROTOCOL_1	SC	ERX664210	sequencing assay	ERX664210	ERR720288_1	SC	ERR720288	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720288/ERR720288_1.fastq.gz	male	CTCF
ERS037295	Homo sapiens	NCBI Taxonomy	9606	  	  	male	B-Lymphocyte	CTCF	SAMEA1706495	GM07357-sc-2011-06-09T13:38:16Z-1162217	ERS037295	LIBRARY_CONSTRUCTION_PROTOCOL_1	3370381_ERX664210	PAIRED	ChIP	GENOMIC	ChIP-Seq	228	10	SEQUENCING_PROTOCOL_1	SC	ERX664210	sequencing assay	ERX664210	ERR720288_2	SC	ERR720288	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720288/ERR720288_2.fastq.gz	male	CTCF
ERS037298	Homo sapiens	NCBI Taxonomy	9606	  	  	male	B-Lymphocyte	  	  	GM11829-sc-2011-06-09T13:38:18Z-1162220	ERS037298	LIBRARY_CONSTRUCTION_PROTOCOL_1	3633632_ERX200546	PAIRED	ChIP	GENOMIC	ChIP-Seq	212	50	SEQUENCING_PROTOCOL_1	SC	ERX200546	sequencing assay	ERX200546	ERR225886_1	SC	ERR225886	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225886/ERR225886_1.fastq.gz	male	    
ERS037298	Homo sapiens	NCBI Taxonomy	9606	  	  	male	B-Lymphocyte	  	  	GM11829-sc-2011-06-09T13:38:18Z-1162220	ERS037298	LIBRARY_CONSTRUCTION_PROTOCOL_1	3633632_ERX200546	PAIRED	ChIP	GENOMIC	ChIP-Seq	212	50	SEQUENCING_PROTOCOL_1	SC	ERX200546	sequencing assay	ERX200546	ERR225886_2	SC	ERR225886	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225886/ERR225886_2.fastq.gz	male	    
ERS037299	Homo sapiens	NCBI Taxonomy	9606	  	  	female	B-Lymphocyte	  	  	GM11830-sc-2011-06-09T13:38:18Z-1162221	ERS037299	LIBRARY_CONSTRUCTION_PROTOCOL_1	2978844_ERX200516	PAIRED	ChIP	GENOMIC	ChIP-Seq	220	13	SEQUENCING_PROTOCOL_1	SC	ERX200516	sequencing assay	ERX200516	ERR225856_1	SC	ERR225856	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225856/ERR225856_1.fastq.gz	female	    
ERS037299	Homo sapiens	NCBI Taxonomy	9606	  	  	female	B-Lymphocyte	  	  	GM11830-sc-2011-06-09T13:38:18Z-1162221	ERS037299	LIBRARY_CONSTRUCTION_PROTOCOL_1	2978844_ERX200516	PAIRED	ChIP	GENOMIC	ChIP-Seq	220	13	SEQUENCING_PROTOCOL_1	SC	ERX200516	sequencing assay	ERX200516	ERR225856_2	SC	ERR225856	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225856/ERR225856_2.fastq.gz	female	    
ERS037299	Homo sapiens	NCBI Taxonomy	9606	  	  	female	B-Lymphocyte	  	  	GM11830-sc-2011-06-09T13:38:18Z-1162221	ERS037299	LIBRARY_CONSTRUCTION_PROTOCOL_1	2978844_ERX200538	PAIRED	ChIP	GENOMIC	ChIP-Seq	220	13	SEQUENCING_PROTOCOL_1	SC	ERX200538	sequencing assay	ERX200538	ERR225878_1	SC	ERR225878	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225878/ERR225878_1.fastq.gz	female	    
ERS037299	Homo sapiens	NCBI Taxonomy	9606	  	  	female	B-Lymphocyte	  	  	GM11830-sc-2011-06-09T13:38:18Z-1162221	ERS037299	LIBRARY_CONSTRUCTION_PROTOCOL_1	2978844_ERX200538	PAIRED	ChIP	GENOMIC	ChIP-Seq	220	13	SEQUENCING_PROTOCOL_1	SC	ERX200538	sequencing assay	ERX200538	ERR225878_2	SC	ERR225878	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225878/ERR225878_2.fastq.gz	female	    
ERS037300	Homo sapiens	NCBI Taxonomy	9606	  	  	male	B-Lymphocyte	CTCF	  	GM11831-sc-2011-06-09T13:38:19Z-1162222	ERS037300	LIBRARY_CONSTRUCTION_PROTOCOL_1	3370384_ERX200543	PAIRED	ChIP	GENOMIC	ChIP-Seq	226	10	SEQUENCING_PROTOCOL_1	SC	ERX200543	sequencing assay	ERX200543	ERR225883_1	SC	ERR225883	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225883/ERR225883_1.fastq.gz	male	CTCF
ERS037300	Homo sapiens	NCBI Taxonomy	9606	  	  	male	B-Lymphocyte	CTCF	  	GM11831-sc-2011-06-09T13:38:19Z-1162222	ERS037300	LIBRARY_CONSTRUCTION_PROTOCOL_1	3370384_ERX200543	PAIRED	ChIP	GENOMIC	ChIP-Seq	226	10	SEQUENCING_PROTOCOL_1	SC	ERX200543	sequencing assay	ERX200543	ERR225883_2	SC	ERR225883	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225883/ERR225883_2.fastq.gz	male	CTCF
ERS037301	Homo sapiens	NCBI Taxonomy	9606	  	  	female	B-Lymphocyte	CTCF	SAMEA1706501	GM11832-sc-2011-06-09T13:38:20Z-1162223	ERS037301	LIBRARY_CONSTRUCTION_PROTOCOL_1	2755445_ERX200498	PAIRED	ChIP	GENOMIC	ChIP-Seq	233	10	SEQUENCING_PROTOCOL_1	SC	ERX200498	sequencing assay	ERX200498	ERR225838_1	SC	ERR225838	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225838/ERR225838_1.fastq.gz	female	CTCF
ERS037301	Homo sapiens	NCBI Taxonomy	9606	  	  	female	B-Lymphocyte	CTCF	SAMEA1706501	GM11832-sc-2011-06-09T13:38:20Z-1162223	ERS037301	LIBRARY_CONSTRUCTION_PROTOCOL_1	2755445_ERX200498	PAIRED	ChIP	GENOMIC	ChIP-Seq	233	10	SEQUENCING_PROTOCOL_1	SC	ERX200498	sequencing assay	ERX200498	ERR225838_2	SC	ERR225838	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225838/ERR225838_2.fastq.gz	female	CTCF
ERS037301	Homo sapiens	NCBI Taxonomy	9606	  	  	female	B-Lymphocyte	CTCF	SAMEA1706501	GM11832-sc-2011-06-09T13:38:20Z-1162223	ERS037301	LIBRARY_CONSTRUCTION_PROTOCOL_1	2850732_ERX664188	PAIRED	ChIP	GENOMIC	ChIP-Seq	223	10	SEQUENCING_PROTOCOL_1	SC	ERX664188	sequencing assay	ERX664188	ERR720266_1	SC	ERR720266	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720266/ERR720266_1.fastq.gz	female	CTCF
ERS037301	Homo sapiens	NCBI Taxonomy	9606	  	  	female	B-Lymphocyte	CTCF	SAMEA1706501	GM11832-sc-2011-06-09T13:38:20Z-1162223	ERS037301	LIBRARY_CONSTRUCTION_PROTOCOL_1	2850732_ERX664188	PAIRED	ChIP	GENOMIC	ChIP-Seq	223	10	SEQUENCING_PROTOCOL_1	SC	ERX664188	sequencing assay	ERX664188	ERR720266_2	SC	ERR720266	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720266/ERR720266_2.fastq.gz	female	CTCF
ERS037301	Homo sapiens	NCBI Taxonomy	9606	  	  	female	B-Lymphocyte	CTCF	SAMEA1706501	GM11832-sc-2011-06-09T13:38:20Z-1162223	ERS037301	LIBRARY_CONSTRUCTION_PROTOCOL_1	2850732_ERX664196	PAIRED	ChIP	GENOMIC	ChIP-Seq	223	10	SEQUENCING_PROTOCOL_1	SC	ERX664196	sequencing assay	ERX664196	ERR720274_1	SC	ERR720274	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720274/ERR720274_1.fastq.gz	female	CTCF
ERS037301	Homo sapiens	NCBI Taxonomy	9606	  	  	female	B-Lymphocyte	CTCF	SAMEA1706501	GM11832-sc-2011-06-09T13:38:20Z-1162223	ERS037301	LIBRARY_CONSTRUCTION_PROTOCOL_1	2850732_ERX664196	PAIRED	ChIP	GENOMIC	ChIP-Seq	223	10	SEQUENCING_PROTOCOL_1	SC	ERX664196	sequencing assay	ERX664196	ERR720274_2	SC	ERR720274	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720274/ERR720274_2.fastq.gz	female	CTCF
ERS037302	Homo sapiens	NCBI Taxonomy	9606	  	  	female	B-Lymphocyte	  	  	GM11840-sc-2011-06-09T13:38:20Z-1162224	ERS037302	LIBRARY_CONSTRUCTION_PROTOCOL_1	2978845_ERX200517	PAIRED	ChIP	GENOMIC	ChIP-Seq	220	13	SEQUENCING_PROTOCOL_1	SC	ERX200517	sequencing assay	ERX200517	ERR225857_1	SC	ERR225857	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225857/ERR225857_1.fastq.gz	female	    
ERS037302	Homo sapiens	NCBI Taxonomy	9606	  	  	female	B-Lymphocyte	  	  	GM11840-sc-2011-06-09T13:38:20Z-1162224	ERS037302	LIBRARY_CONSTRUCTION_PROTOCOL_1	2978845_ERX200517	PAIRED	ChIP	GENOMIC	ChIP-Seq	220	13	SEQUENCING_PROTOCOL_1	SC	ERX200517	sequencing assay	ERX200517	ERR225857_2	SC	ERR225857	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225857/ERR225857_2.fastq.gz	female	    
ERS037302	Homo sapiens	NCBI Taxonomy	9606	  	  	female	B-Lymphocyte	  	  	GM11840-sc-2011-06-09T13:38:20Z-1162224	ERS037302	LIBRARY_CONSTRUCTION_PROTOCOL_1	2978845_ERX200539	PAIRED	ChIP	GENOMIC	ChIP-Seq	220	13	SEQUENCING_PROTOCOL_1	SC	ERX200539	sequencing assay	ERX200539	ERR225879_1	SC	ERR225879	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225879/ERR225879_1.fastq.gz	female	    
ERS037302	Homo sapiens	NCBI Taxonomy	9606	  	  	female	B-Lymphocyte	  	  	GM11840-sc-2011-06-09T13:38:20Z-1162224	ERS037302	LIBRARY_CONSTRUCTION_PROTOCOL_1	2978845_ERX200539	PAIRED	ChIP	GENOMIC	ChIP-Seq	220	13	SEQUENCING_PROTOCOL_1	SC	ERX200539	sequencing assay	ERX200539	ERR225879_2	SC	ERR225879	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225879/ERR225879_2.fastq.gz	female	    
ERS037303	Homo sapiens	NCBI Taxonomy	9606	  	  	male	B-Lymphocyte	CTCF	SAMEA1706503	GM11881-sc-2011-06-09T13:38:21Z-1162225	ERS037303	LIBRARY_CONSTRUCTION_PROTOCOL_1	2755446_ERX200499	PAIRED	ChIP	GENOMIC	ChIP-Seq	233	10	SEQUENCING_PROTOCOL_1	SC	ERX200499	sequencing assay	ERX200499	ERR225839_1	SC	ERR225839	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225839/ERR225839_1.fastq.gz	male	CTCF
ERS037303	Homo sapiens	NCBI Taxonomy	9606	  	  	male	B-Lymphocyte	CTCF	SAMEA1706503	GM11881-sc-2011-06-09T13:38:21Z-1162225	ERS037303	LIBRARY_CONSTRUCTION_PROTOCOL_1	2755446_ERX200499	PAIRED	ChIP	GENOMIC	ChIP-Seq	233	10	SEQUENCING_PROTOCOL_1	SC	ERX200499	sequencing assay	ERX200499	ERR225839_2	SC	ERR225839	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225839/ERR225839_2.fastq.gz	male	CTCF
ERS037303	Homo sapiens	NCBI Taxonomy	9606	  	  	male	B-Lymphocyte	CTCF	SAMEA1706503	GM11881-sc-2011-06-09T13:38:21Z-1162225	ERS037303	LIBRARY_CONSTRUCTION_PROTOCOL_1	2850733_ERX664189	PAIRED	ChIP	GENOMIC	ChIP-Seq	223	10	SEQUENCING_PROTOCOL_1	SC	ERX664189	sequencing assay	ERX664189	ERR720267_1	SC	ERR720267	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720267/ERR720267_1.fastq.gz	male	CTCF
ERS037303	Homo sapiens	NCBI Taxonomy	9606	  	  	male	B-Lymphocyte	CTCF	SAMEA1706503	GM11881-sc-2011-06-09T13:38:21Z-1162225	ERS037303	LIBRARY_CONSTRUCTION_PROTOCOL_1	2850733_ERX664189	PAIRED	ChIP	GENOMIC	ChIP-Seq	223	10	SEQUENCING_PROTOCOL_1	SC	ERX664189	sequencing assay	ERX664189	ERR720267_2	SC	ERR720267	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720267/ERR720267_2.fastq.gz	male	CTCF
ERS037303	Homo sapiens	NCBI Taxonomy	9606	  	  	male	B-Lymphocyte	CTCF	SAMEA1706503	GM11881-sc-2011-06-09T13:38:21Z-1162225	ERS037303	LIBRARY_CONSTRUCTION_PROTOCOL_1	2850733_ERX664197	PAIRED	ChIP	GENOMIC	ChIP-Seq	223	10	SEQUENCING_PROTOCOL_1	SC	ERX664197	sequencing assay	ERX664197	ERR720275_1	SC	ERR720275	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720275/ERR720275_1.fastq.gz	male	CTCF
ERS037303	Homo sapiens	NCBI Taxonomy	9606	  	  	male	B-Lymphocyte	CTCF	SAMEA1706503	GM11881-sc-2011-06-09T13:38:21Z-1162225	ERS037303	LIBRARY_CONSTRUCTION_PROTOCOL_1	2850733_ERX664197	PAIRED	ChIP	GENOMIC	ChIP-Seq	223	10	SEQUENCING_PROTOCOL_1	SC	ERX664197	sequencing assay	ERX664197	ERR720275_2	SC	ERR720275	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720275/ERR720275_2.fastq.gz	male	CTCF
ERS037304	Homo sapiens	NCBI Taxonomy	9606	  	  	female	B-Lymphocyte	CTCF	  	GM11894-sc-2011-06-09T13:38:21Z-1162226	ERS037304	LIBRARY_CONSTRUCTION_PROTOCOL_1	2755447_ERX200496	PAIRED	ChIP	GENOMIC	ChIP-Seq	229	10	SEQUENCING_PROTOCOL_1	SC	ERX200496	sequencing assay	ERX200496	ERR225836_1	SC	ERR225836	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225836/ERR225836_1.fastq.gz	female	CTCF
ERS037304	Homo sapiens	NCBI Taxonomy	9606	  	  	female	B-Lymphocyte	CTCF	  	GM11894-sc-2011-06-09T13:38:21Z-1162226	ERS037304	LIBRARY_CONSTRUCTION_PROTOCOL_1	2755447_ERX200496	PAIRED	ChIP	GENOMIC	ChIP-Seq	229	10	SEQUENCING_PROTOCOL_1	SC	ERX200496	sequencing assay	ERX200496	ERR225836_2	SC	ERR225836	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225836/ERR225836_2.fastq.gz	female	CTCF
ERS037304	Homo sapiens	NCBI Taxonomy	9606	  	  	female	B-Lymphocyte	CTCF	  	GM11894-sc-2011-06-09T13:38:21Z-1162226	ERS037304	LIBRARY_CONSTRUCTION_PROTOCOL_1	2850734_ERX200500	PAIRED	ChIP	GENOMIC	ChIP-Seq	219	10	SEQUENCING_PROTOCOL_1	SC	ERX200500	sequencing assay	ERX200500	ERR225840_1	SC	ERR225840	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225840/ERR225840_1.fastq.gz	female	CTCF
ERS037304	Homo sapiens	NCBI Taxonomy	9606	  	  	female	B-Lymphocyte	CTCF	  	GM11894-sc-2011-06-09T13:38:21Z-1162226	ERS037304	LIBRARY_CONSTRUCTION_PROTOCOL_1	2850734_ERX200500	PAIRED	ChIP	GENOMIC	ChIP-Seq	219	10	SEQUENCING_PROTOCOL_1	SC	ERX200500	sequencing assay	ERX200500	ERR225840_2	SC	ERR225840	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225840/ERR225840_2.fastq.gz	female	CTCF
ERS037305	Homo sapiens	NCBI Taxonomy	9606	  	  	female	B-Lymphocyte	CTCF	  	GM11918-sc-2011-06-09T13:38:22Z-1162227	ERS037305	LIBRARY_CONSTRUCTION_PROTOCOL_1	2755448_ERX200497	PAIRED	ChIP	GENOMIC	ChIP-Seq	229	10	SEQUENCING_PROTOCOL_1	SC	ERX200497	sequencing assay	ERX200497	ERR225837_1	SC	ERR225837	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225837/ERR225837_1.fastq.gz	female	CTCF
ERS037305	Homo sapiens	NCBI Taxonomy	9606	  	  	female	B-Lymphocyte	CTCF	  	GM11918-sc-2011-06-09T13:38:22Z-1162227	ERS037305	LIBRARY_CONSTRUCTION_PROTOCOL_1	2755448_ERX200497	PAIRED	ChIP	GENOMIC	ChIP-Seq	229	10	SEQUENCING_PROTOCOL_1	SC	ERX200497	sequencing assay	ERX200497	ERR225837_2	SC	ERR225837	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225837/ERR225837_2.fastq.gz	female	CTCF
ERS037305	Homo sapiens	NCBI Taxonomy	9606	  	  	female	B-Lymphocyte	CTCF	  	GM11918-sc-2011-06-09T13:38:22Z-1162227	ERS037305	LIBRARY_CONSTRUCTION_PROTOCOL_1	2850735_ERX200501	PAIRED	ChIP	GENOMIC	ChIP-Seq	219	10	SEQUENCING_PROTOCOL_1	SC	ERX200501	sequencing assay	ERX200501	ERR225841_1	SC	ERR225841	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225841/ERR225841_1.fastq.gz	female	CTCF
ERS037305	Homo sapiens	NCBI Taxonomy	9606	  	  	female	B-Lymphocyte	CTCF	  	GM11918-sc-2011-06-09T13:38:22Z-1162227	ERS037305	LIBRARY_CONSTRUCTION_PROTOCOL_1	2850735_ERX200501	PAIRED	ChIP	GENOMIC	ChIP-Seq	219	10	SEQUENCING_PROTOCOL_1	SC	ERX200501	sequencing assay	ERX200501	ERR225841_2	SC	ERR225841	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225841/ERR225841_2.fastq.gz	female	CTCF
ERS037307	Homo sapiens	NCBI Taxonomy	9606	  	  	female	B-Lymphocyte	  	  	GM11920-sc-2011-06-09T13:38:23Z-1162229	ERS037307	LIBRARY_CONSTRUCTION_PROTOCOL_1	2978848_ERX200518	PAIRED	ChIP	GENOMIC	ChIP-Seq	215	14	SEQUENCING_PROTOCOL_1	SC	ERX200518	sequencing assay	ERX200518	ERR225858_1	SC	ERR225858	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225858/ERR225858_1.fastq.gz	female	    
ERS037307	Homo sapiens	NCBI Taxonomy	9606	  	  	female	B-Lymphocyte	  	  	GM11920-sc-2011-06-09T13:38:23Z-1162229	ERS037307	LIBRARY_CONSTRUCTION_PROTOCOL_1	2978848_ERX200518	PAIRED	ChIP	GENOMIC	ChIP-Seq	215	14	SEQUENCING_PROTOCOL_1	SC	ERX200518	sequencing assay	ERX200518	ERR225858_2	SC	ERR225858	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225858/ERR225858_2.fastq.gz	female	    
ERS037308	Homo sapiens	NCBI Taxonomy	9606	  	  	female	B-Lymphocyte	  	  	GM11931-sc-2011-06-09T13:38:24Z-1162230	ERS037308	LIBRARY_CONSTRUCTION_PROTOCOL_1	3145060_ERX200529	PAIRED	ChIP	GENOMIC	ChIP-Seq	221	28	SEQUENCING_PROTOCOL_1	SC	ERX200529	sequencing assay	ERX200529	ERR225869_1	SC	ERR225869	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225869/ERR225869_1.fastq.gz	female	    
ERS037308	Homo sapiens	NCBI Taxonomy	9606	  	  	female	B-Lymphocyte	  	  	GM11931-sc-2011-06-09T13:38:24Z-1162230	ERS037308	LIBRARY_CONSTRUCTION_PROTOCOL_1	3145060_ERX200529	PAIRED	ChIP	GENOMIC	ChIP-Seq	221	28	SEQUENCING_PROTOCOL_1	SC	ERX200529	sequencing assay	ERX200529	ERR225869_2	SC	ERR225869	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225869/ERR225869_2.fastq.gz	female	    
